,source,edge,target
285,commercial  enterprise,St,20 6 1974
287,legal  questions,decided,4 profit para
289,hidden  reserves,are,other book reason
290,EStG1 § exemption,increased from,16 assessment para
291,14a EStG,inserted,addition
292,special  allowances,granted for certain,certain sales July
294,7 Tax Amendment I,S,7 Tax Amendment 1974
296,Special,value,3 lease cases
297,unit value,presupposes,applicable  sale
300,leased  determination,is of,rather unit lessee
301,tax allowance,relate to,permissible  manner
302,also  tenant,decree of,3 S-2239 St
303,only  part,granted,agricultural  enterprise
304,prerequisite,is,exemption
305,sale price,used,six  sale
306,agricultural business assets,is,property
307,repayment,is,tax 14a EStG
309,sale price,granted,six  sale
310,who,fulfilled,legal  legacy
311,other  heirs,regarded as,provision
313,4  which,of,2 calendar Paragraph
316,same,i,exemption amount
318,exemption,granted on,only  application
319,request,relates to,entire capital gain
320,one calendar application,required,two calendar years
321,limitation,considered admissible,rata calendar year
322,4 § EStG,used for,capital gain
323,capital that,EStG,tax  Section
324,that,i,intended  heir
328,u,depends,Tax Amendment December
331,taxpayer,remark,26 26b EStG
332,"52,000  profit",includes,"42,000 business March"
333,taxpayer,EStG in,capital gain
336,tax Income,DM,financial rata year
339,relevant  income,exceed,"48,000 14a Ab"
341,tax exemption,is,when  agriculture
342,financial calendar year,Abs,calendar which
343,especially tax taxpayers,is,55 tax EStG
344,sale price,is,therefore  which
345,corresponding  which,filed with,department head
346,also selling price,is determined,respective starting municipality
347,therefore  it,ask,double starting view
348,sale,made as,1  7
349,55 tax determination,put on,finally department head
350,taxpayer,can in principle,necessary determination application
351,used  property,omitted,Likewise  cases
352,partial determination procedure,EStG,Section
353,1  I,ask,55  EStG
356,only  Stpfl,used,corresponding  application
357,too  it,EStG,Section
358,55 assessment EStG,avoided,simplicity
359,regardless business closure,applies,30  6
360,removal,took,July
362,unfinished sales notifications,Questionnaire,Annex
363,I,intended for,sale
364,other  land,is,private  assets
365,relevant tax that,filed in,income tax purposes
367,Deletion,photocopies to,valuation files
368,forms,are,duplicate
371,2  sample,attached as,real transfer tax Appendix
372,form,adapted to,taxation
373,notification,forwarded by,first valuation future
374,assessment body,supplement,land it
375,intended,sent by,local tax office
377,estimated  edition,produced,tax completion
380,1973  law,replaced,average  rates
381,2 13a EStG,Paragraph,3 13a DM
386,Profits,No,therefore 13a Paragraph
387,full  sum,EStG,all 13a para
390,4  EStG,is more,DM
391,3 Section EStG,taken into,comparative  case
392,only 13a viticulture,apply,possible  DM
393,new  regulation,result in,fundamental Income Tax viticulture
395,1  EStG,is,operating  income
396,all  that,is,private party living
397,Operating  expenses,are,particular  products
398,When operating distinction,made between,real construction costs
399,only harvest yields,guaranteed,operating income
400,information,checked by,annex turnover ESt
401,declared operating it,is necessary,u
404,1974/75 marketing I,set,growing material areas
405,average  values,remain unchanged,third  parties
406,sums,based on,bookkeeping survey farms
407,cultivated vineyard area,are,60  hectares
408,100 pest DM,are deductible,additional material helicopter
411,general lump they,are,general lump which
412,However  subsidies,taken into,agricultural trade account
413,association Rheinhessen Pfalz,pays,z
416,Berg,are,individual lump proof
418,highest building costs,costs,lowest  framework
419,framework rates,that,careful tax examination
420,individual building cost which,determine,best building municipality
421,neighboring tax offices,seems advisable,good  time
422,individual  I,ask,financial  administration
423,construction,has,flat  community
424,flat  rate,No,13a Paragraph
427,I,ask,individual  December
428,corresponding report template,dispensed with,previous framework rates
429,flat  rates,include,pressing cellar building
430,paragraph phylloxera i,are above,flat building costs
435,individual tax office,taken into,uniformly  account
436,general lump sum,is deductible,useful  life
437,soon  vines,ends,vines
438,depreciation,permitted from,longer  point
439,more  productivity,is,fallow  areas
440,regardless  they,taken into,extraordinary  depreciation
441,lump sum,is,300  hectare
442,increased phylloxera depreciation,considered for,contaminated  municipality
444,only  recognition,is,1963
445,increased  depreciation,listed with,last  time
446,growing phylloxera infection,reference to,initial  Appendix
447,again phylloxera contamination,found,when  which
448,suitable  measures,provide suitable,additional phylloxera expenses
449,growing  communities,marked,overviews
450,a,required for,increased lump depreciation
451,6 wage expenses,are,only business taxpayer
452,It,No,when 13a Paragraph
453,flat material which,are,viticulture
454,taxpayers,provide,analogous  Rdverf
456,generally  number,is,wage tax
457,further wage which,exclude,wage tax purposes
458,1973 S-2371 St,requested in,also assessment procedure
459,estimate,permitted,temporary  wages
460,temporary  I,refer to,Rdverf
461,2 apartment 13a EStG,see,own apartment 13a para
465,1  EStG,become,3  EStG
467,value,is,when  profits
468,only  benefit,represent,78  EStDV
474,1 Lease income523 Surcharges,paid for,starting amount
477,1981 EStR I,S,EStR account
479,accounting benefits,IS,3 34e 1981
481,2 13a EStG,EStG,initial Section 13a
482,long  they,.,22 valuation para
483,4 Section EStG,met,only Section 13a
484,EStG 13a I,EStR,3122  profit
485,3 Section EStR,observed,basic Section 13a
486,business,BewG,paid  workers
487,Section EStG,added to,basic  amount
489,initial 13a Paragraph,applicable,individual  case
490,paid  workers,EStG,appropriate  employment
491,well term who,applies to temporary,certain  ordering
493,Section  Paragraph,contained,4  uses
495,activities,work,special  uses
496,business relatives,applicable,business
498,that,p,special section C
501,Reference,EStR,2 Section EStG
502,rent,includes,also ground rent
503,basic  it,compensated by,initial  value
504,EStG Section I,refer to,Section 130a Paragraph
505,that,are,initial  value
506,secondary  that,include,agricultural wage system
507,company  which,.,Section 13a
508,You,103,basic  amount
509,8 13a EStG,are,operating  income
510,profits,are,1  EStG
511,following breeding guidelines,serve as,guide
512,application,p,incorrect  16
514,2241  Sales,animals As additional,additional breeding animals
515,additional  profit,sows,750  horses
516,selling price,amount by,3000  DM
517,"13,000",amount of,full  DM
519,here  they,taken into,separately  respect
520,8 Section EStG,considered,Section 13a
521,Vegetables,grown in,main crop crop
522,other  types,mentioned,cabbage
526,cultivation,is,agricultural crop rotation
527,It,is,horticultural vegetable use
528,horticultural income fluctuates,"80,000 per","15,000  hectare"
529,You,are dependent,z
533,profit,influenced by,weekly  market
535,operating  income,is,particularly  which
536,accurate  estimate,is,close  ALS
537,horticultural Fruit income,fluctuates,"15,000  hectare"
538,They,depend on,age orchard
541,profit,influenced by,weekly  market
544,that,includes,residential family purposes
545,senior  value,is,total living space
546,deduction,is,special  expenses
547,charges  Reference,EStR,2 Section EStG
548,Interest subsidies,reduce,deductible debt interest
550,Additions,considered,residential § 7b
551,6 § 7a EStG,noted,financial  December
552,However tax relief,lead to,still  agriculture
553,also depreciation increase deductions,taken into,depreciation
554,8) Section EStG,taken into,when  profit
555,31 operating Scope,made to,application Section
556,17  I,like,following
557,Section EStR,EStG,when  Section
558,I,refer to,431322 Apartment Section
559,reference,.,ESt
560,value,is,even  farmers
561,41  Scope,.,introductory application letter
562,3 value they,i,yet § §
563,1  BewG,made,22  para
564,1981  I,S,13  BMF
566,1980/1981 business I,111,additionally  22
567,432  Value,applies,apartment Section
568,properly  profit,is,162  AO
569,3 Section they,keep,3 business EStG
570,estimate,has,Section
572,Section,sentence,account
573,profit,be,estimate
574,however  who,are,tax cooperation obligations
575,remaining  basis,made,subject  review
576,explanatory  text,included in,notification
577,profit,was for,financial  year
579,you,Estimated according,accounts
580,higher  tax,set,higher  estimated
582,however  profit,can,AO  punitive
584,failure,like,already tax risk
585,standard estimation method,left to,individual tax office
586,522  that,Surcharges for,starting amount
590,following guide rates,intended as,accurate  profit
592,individual  conclusions,is,entire  business
593,application,p,incorrect  16
595,521 starting amount,is,1980/81 business year
601,pasture grassland,share,pasture farming
604,agricultural production areas,belong to,agricultural  use
607,Areas,included,house gardens
610,proportion,depends on,respective marketing year
611,root crops,include,only catch crops
612,average RPS des Operation,(,unfavorable earnings ratios
614,always  application,checked by,always  ALS
616,starting they,are,agriculture
618,Hereditary  assets,belong to,agricultural business assets
619,523  Surcharges,settled with,starting amount
620,sustainable operating that,are,starting amount
623,surcharges,are,operating  income
625,valuable animals Section,applies,5231 breeding cattle
626,normal animal population,settled with,starting amount
627,where forage area,are,cent
630,forage area,includes,context
632,even forage grain,included in,farm
633,When livestock procedure,EStR,Section 124a
635,following,is,220  VE
636,420  eggs,applied,mainly  wholesalers
637,also  animals,used as,aforementioned  animals
638,here  they,taken into,account
639,5233 Field vegetable cultivation,understood,agricultural crop rotation
640,distinction,made between,cultivation vegetable replica
641,Additional  profit,For,"5,000 starting Reduction"
642,It,is up,actual field vegetable cultivation
645,remaining  amount,is,annual starting area
646,standard  rates,take into,account wages
647,horticultural  Section,applies,accordingly  profit
650,horticultural Fruit Section,applies,accordingly  profit
653,524  Value,applies,apartment Section
654,always  expenses,applied,when starting amounts
655,521  company,based on,unpaid  workers
656,insofar starting they,are,starting amount
657,treatment,paid for,starting amount
659,individual wage .,apply,individual wage cases
660,well  who,include,well  workers
661,Contractors,made available,certain  ordering
662,wage expenses,are,25 wage %
668,they,523,when  Sect
669,lessee,bears other,e.g. rental land
670,business they,are,when starting amounts
671,business,taken into,owner
672,agricultural  depreciation,is available,company lessor
674,authorized  user,increase,leased starting land
677,increased  deductions,EStG of,2 starting percent
679,6 § 7a EStG,noted,financial  December
680,76 starting register,order of,1981 § 7a St
681,I,ask,tax files
682,high depreciation amounts,is,account
684,initial  amount,increased for,remaining  use
685,well  correction,is,EStDV  simplification
686,future  directory,provided with,corresponding income tax file
688,11  St,referred to,27
689,Evidence,provided,partial retirement benefits
690,value,recognized without special,special retirement proof
691,responsible valuation body,are,taxpayer
692,that,disclose,fixed  unit
695,that,summarized on,4 Annex L
696,therefore  livestock,ask in,obviously animal area
697,41 assessment body,informed by,4 Annex L.
701,same,applies to,free  charge
702,It,St,3  27
703,I,ask,lessee Annex lessor
705,cases,cases without,responsible tax field audit
706,also wage expenses,applies,when  profit
708,possible  profit,evaluated,possible  which
709,assessment ​​to,ask,when  profits
712,1976 assessment principles,St,order
713,12 vom who,No,5 business performance
714,6 Rent interest,No,13a Paragraph
716,91 Section Rent,paid,Section 13a Section sentence
718,1965 13a it,is,essentially  GDL
719,determination,enterprises of,1 value 1
724,principles,apply to,also Section 13a EStG
725,11  Deviations,differ,13a EStG
726,12  option,expanded,bookkeeping
727,business it,is,also income surplus calculation
728,value,No,specifically unit value
730,profit,has,financial 13a taxation
731,provisions,adopted as dispensable,dispensable 13a EStG
732,surcharge,No,abnormal animal husbandry
735,twelfth  part,is,basic starting amount
736,initial  value,EStG,unit company
737,1973  Section,EStG,financial  December
738,3  EStG,is,13a Paragraph
739,agricultural profit determination,come into,13a consideration
740,291 BStBl Paragraph,III,9 5 1957
744,also  farmers,applies,tax advisory professions
745,2 application period,is,financial  year
746,it,revoked,writing
747,right,exercised by,business assets
749,4 profit EStG,are,latter profit Section
754,operating operating provisions,observed,Section
755,also  he,applies,profit determination
756,3  surcharges,is,6  apartment
757,twelfth 13a part,is,basic  amount
758,special unit hectare,includes,special  uses
760,special  uses,exceed,unit DM
761,allocation,uses,actual use this
762,only  EW,no,account Section 13a
763,last  paragraph,taken into,218 Income Tax AO
764,last EW that,Changes,therefore values ​​(e.g
765,Acquisition,increase in,structural animal changes
767,​​attributable,No,initial  value
772,initial  value,increased by,leased  areas
773,conditions,are decisive,financial  year
774,This,applies to,called leasehold businesses
775,comparative  value,No,leased  areas
777,35,No,agricultural tree use
778,comparative  values,taken,used unit areas
779,that,No,agricultural  assets
781,agricultural  business,assumes,paid  workers
782,Therefore  value,added to,basic business amount
783,minor  operation,taken into,reasonable  extent
784,full time type,appropriate for,relatives
785,agricultural  number,No,007  hectare
787,physical  cooperation,is,business owner
788,initial  value,is,other value the
791,"4,000 income reduction",required,when VAK work
792,maximum  area,No,permissible  VAK
794,This,means,special  uses
795,business owner,employed in,fully  business
796,reduced earning capacity,is,actual work work
797,agricultural  that,EStG,initial Section 13a
798,These,include,Paragraph
801,workforce,ordered under,respective income tax declaration
803,actual  conditions,crops,FinMin Erl
812,b,uses,special  i
813,appropriate  number,is,Felsmann comment
815,5  Value,No,operational  performance
816,basic 1 amount,is,1 b 1 company
819,physical work performance,applied,entirely  consideration
820,himself  management,applied in full,other  hands
822,several  value,needs,only  account
824,basic  it,is,agriculture
825,leased  areas,is,agricultural business assets
826,business they,remain,13 Income Tax Act
827,similar property amounts,are,lessor
828,When  determining,i,special 13a uses
831,c these,EStG,comparative  values
832,3  this,EStG by,least Section DM
833,income,is,operating  income
836,When  it,is,special marketing year
837,This,change,initial  value
838,surcharges,are,6  unit
839,Losses,offset against,special  uses
840,total  loss,lead to,discount
841,operating expenses,noted,also debt business
842,special  crops,include,hops
843,horticultural  use,includes,u
845,Bushberry fruits,used for horticultural,horticultural  purposes
846,agricultural  uses,include in particular,fishing fish farming
848,agricultural crop areas,belong to agricultural,agricultural  use
849,This,L,minor  Section
852,basic forestry use,excluded in full,basic  amount
855,that,applies to,when forest properties
856,insofar wage these,profits from,fixed holiday assets
857,Section,EStG,4  i
859,Realized  increases,covered by,basic business amount
860,basic  amount,refers to,normal  business
861,insofar  these,are,normal operating surcharge
864,5  value,is,specifically unit value
865,housing value,includes,residential business purposes
866,real  right,granted for,apartment value
867,land value,is,beneficiaries
868,flat  value,reduced,standard  value
869,proportion,are,senior  cases
871,even  they,belong to,own family household
872,They,are,comparative  i
874,1  BewG,see,also  Section
875,91 Section Rent,paid,Section 13a Section sentence
876,2 Lease interest,deducted,leased  business
877,rent,deducted,one  apartment
878,wholly  that,No,initial  value
880,c EStG,are,basic  amount
881,They,EStG,when operating surcharge
882,business it,is,business expenses
883,This,applies to,also mortgage profit levy
884,due  which,taken into,when business surcharge
885,2 business these,Abs,unit valuation
887,contributions,taken into,already unit assessment
888,Partial retirement burdens,are,10  EStG
889,permanent  loads,are,hardly  practice
890,Questions  I,ask,regularly Section 13a EStG
891,Increased § 7b value,belongs according,apartment
895,even rate this,allows,loss
896,regulation,contained in,52  EStDV
897,increased  withdrawal,lead to,longer  loss
898,§ 7d EStG,compensated,them
899,also  requirements,made according,regulation
900,also  subsidy,applies,voluntary Income Tax business
901,proper  profit,keep proper,proper  books
903,profit,is,actual  circumstances
904,estimate,ruled,13a EStG
905,following tax office procedure,surcharges from special,special operations etc
908,agricultural  following,a,20 root crop %
911,600 der DM,see,apartment
915,1 General who,No,Section
917,V,obliged,1  books
918,It,No,bookkeeping  Section
919,74 I 67/74,announced with,7  74
920,only tax office,begins,specifically  start
922,longer accounting assessment,is,new  provisions
923,home,no,same  type
925,own  reference,p,BFH 30
928,222  a,are,still  account
929,55 EStG. Reference,made to,1 S-2230 St
931,221 S-2184 forklifts,are among,1  §
932,permanent  Section,Regulations,special  expenses
933,They,i,recurring  recipient
936,secured  value,added to,1969 BStBl II p
940,following  amounts,applied as,church tax agriculture farmer
943,4 letter f,apply,tobacco cultivation
947,1975 Section 7d who,BStBl,29 8 1969
949,profit,amount of more,0 DM results
952,5 Section EStG,ruled,4000 Section 13a
953,profit,apply,1 Section 13a EStG
954,financial  it,EStG,Section 13a
955,profit,estimated,obligation
956,3 assessment basis,is,basic 13a Paragraph
958,twelfth  part,is,basic starting amount
960,comparative Income Tax values,found in,standard value notification
961,financial  profit,is,financial  which
962,1974 assessment updates,is,first  time
963,subsequently unit value,is decisive,financial profit year
964,farmer,bought,1  3
965,1  gem,is,1  1975
966,22  BewG,carried,value update
967,unit value,used for,fiscal 13a year
970,based,AO,thereon
971,standard value assessment,challenged on,grounds
972,objection,asserted in,standard value notification
975,value,applied,work
976,business owner,No,physical  work
978,agricultural  that,EStG,initial Section 13a
981,proportionate Section employment,determined according,actual  scope
982,3 Section EStG,deducted from,operating expenses
983,respective Annex division,carried,estimate
984,value,is according,10 13a para
986,Paid  workers,are,appropriate  employment
988,007  VAK,are,hectare
990,appropriate c number,determined in,individual  case
996,"10,000 comparison company",employs,18 employment contract
997,special  culture,accounts for,20  percent
1003,1187 DM4 surcharges,is,6 13a Paragraph
1004,1c EStG,no,economic  leases
1005,"4,000  profits",no,full  surcharge
1008,Horticultural  uses,are,extensive fruit cultivation
1009,main crop crop,cultivation of white,agricultural  use
1010,agricultural  uses,include in particular,fishing sheep farming
1011,4000 profit surcharge,apply,4000  uses
1012,profits,settled with,initial  value
1013,41  which,EStG,initial Section 13a
1014,requirements,apply,22 value BewG
1015,other operating that,EStG,3 Section 13a
1026,1970 acquisition costs,are decisive,55  EStG
1028,5 Section EStG,increases by,DM
1031,calculation,contradict,1 1958 1 BStBl
1035,When  value,is,specifically unit value
1036,family members,includes,residential  purposes
1037,total living Sect,see,total living space
1039,19 profit profit,No,12  Paragraph
1043,19 profit EStR,is,1 profit EStG
1044,proper  profit,is,proper  books
1045,previous valuation method,retained,3 OFD Vfg
1047,Surcharges,Section,2 OFD Ordinance
1050,agricultural business it,Paragraph,5 Income Tax Ordinance
1053,2  EStG,is,agriculture
1054,Farmers,claim,residential Section 7b EStG
1055,increased  deductions,are,when 13a EStG
1056,even rate this,is,loss
1057,longer deduction amount,lead to,longer  loss
1058,However  this,EStG,well  December
1060,1/21  75911,communicated by,OFD Vfg
1061,1975  St,pointed,22
1062,other Federal Bayer,asks,other Federal countries
1063,State Ministry,Az,21 11 1975
1064,increased  that,is out,Section 7d EStG
1065,full Section 7d result,EStG,increased Section 7d EStG
1066,other pro requirements,met,provision
1067,also  subsidy,applies,voluntary Income Tax company
1068,1969  Bayer,has,it
1069,State Ministry,Az,other Federal 31
1071,third  who,drawn,forestry
1072,useful business this,is out,forestry manager
1073,Partial retirement benefits,i,recurring  payments
1076,value,is,directly  latter
1077,senior  citizen,BStBl,secured  12
1082,then  value,is in,retirement part agriculture
1084,2  EStG,taken into,special  expenses
1085,pensioner,has,§
1089,3 appendix L,given,36 appendix ESt
1090,actual Tax Act expenditure,values,regularly Tax Act which
1091,flat  that,provided by,other  groups
1092,who,Remuneration in,agriculture  production
1093,verifiable cash withdrawals,deducted,addition
1095,other tax Bayer,represents,other tax countries
1098,lower logging income,assumes,normal wood years
1099,it,allows,rate operating expenses
1100,insofar operating calamity,am of,restricted logging limits
1101,income,form,rate operating expenses
1102,question,answered in,item
1103,only logging restriction,based on,only wood species which
1104,wood groups,ask,flat operating rates
1105,also operating who,claimed by,felling  restrictions
1106,logging question,answered in,negative
1107,income,are,thus logging restriction
1108,period,is decisive,logging restriction
1109,rate operating expenses,based on,therefore logging item
1111,ago forestry experts,required,wood stock value
1114,longer wood stock,are,wood
1115,change,reported in good,good forest time
1117,Bp,no,special section B III
1120,they,like,immediately forestry experts
1125,22 EStG I,sending,55 land gain attention
1126,General2 Economic entrepreneurship IV Transfer,No,55 General2 Starting Paragraph
1127,1971B gain S,AS,1971B gain II-235/72
1129,b  that,BStBl,Legal Tax Amendment August
1131,taxation,reorganized,land farmers
1132,4 Section 14a EStG,EStG,1973 Section 13a
1133,1971  Section,Section,6  1970
1134,1971  Section,EStG,August
1136,1971 business transaction,is,income tax purposes
1137,taxation rules,gain,August
1138,that,are,1971  account
1139,3  Determination,are,subsequently advance payment
1140,agricultural  concept,require,minimum farm buildings
1141,agricultural  use,is,agricultural  properties
1142,administrative  it,assumed,so  called
1143,total land area,is,square  meters
1144,overall  areas,is,agricultural  purposes
1145,Indications,be,ongoing  crops
1146,Membership,contribute to,agricultural government business
1147,also  products,exists,personal  consumption
1148,serious  use,assumed on,low  profitability
1150,third  it,considered serious,owner
1151,private house gardens,excluded from,1972 weekend agriculture
1152,Section III .,e.g.,managed business owner
1154,that,is,personal  reasons
1155,temporarily  they,remain necessary,remaining  business
1156,lease,recognized,lessee
1157,recognized  lease,is,recognized  withdrawal
1159,expressly  land,took,private  assets
1160,lessor,e.g.,tax purposes
1161,rental  income,shown in,assessment rental
1162,certain  they,remain,certain  period
1163,individual  pieces,removed,land
1165,use,be,reallocation development
1166,clear withdrawal action,required,2 Income Tax Regulation
1167,However  treatment,is irrelevant,standard value method
1168,fallow  this,be,holding
1170,permanently  one,speak of,agricultural  activity
1171,They,belong to private,private  use
1172,third  party,applies,area
1174,cessation,associated with,operational Section V
1175,encumbrance,constitute,heritable building withdrawal
1176,agricultural business which,belonged to,1 business 7
1177,only  owner,applies,heritable building property
