,sentence
17,Agricultural and forestry assets in this sense therefore include all areas and assets that are available to the farmer and forestry manager for the management of the business or that are part of his business assets from an income tax point of view
18,The value of the assets to be taken into account is to be determined in accordance with the principles and regulations applicable to unit valuation
19,The leased agricultural land and the land provided free of charge are to be set at the comparative value of the agricultural use
20,"If there is no special comparative value for the leased agricultural land and the agricultural land provided free of charge, the value to be taken into account is to be calculated according to the hectare value that was used as the basis for the unit assessment for one's own farm for the comparative value of agricultural use"
21,Agricultural areas that have been assigned to the real estate in the unit valuation according to § 69 BewG and valued at the common value are to be set at the value that would result from the regulations on the valuation of agricultural and forestry assets
22,This value is to be calculated according to the hectare value that has been or should be taken as a basis for the unit valuation for the own farm for the comparison value of the respective use
23,3 Profit limit The profit limit relates to the profit for the calendar year
24,"If the business year deviates from the calendar year, the profit from two business years divided over the calendar year is decisive"
25,"Insofar as the profit determined for the financial year has been reduced by increased deductions or special depreciations for assets that have been purchased or manufactured after December 31, 1974, the profits for the examination of whether the profit limit has been exceeded are to be increased by these increased deductions or Increase special depreciation and then split it over time (Section 7a (7) EStG 1975)"
26,"The same also applies to special depreciations and deductions from profits according to Sections 76 to 78 EStDV, which were made before Section 7a EStG 1975 came into force (Sections 76 (6) 77 (5) 78 (5) EStDV in those valid up to VZ 1974 Versions), as well as for reserves according to § 3 ForstschAusglG (§ 3 Abs 5 ForstschAusglG)"
27,4 Beginning of the accounting obligation a) Legal situation until 31 12 1976 Acc
28,Section 161 (1) RAO i
29,"Section 1, Paragraph 1 of the LandwBuchfVO, the accounting obligation for farmers and foresters began at the beginning of the financial year relevant for the determination of profits for income tax, which followed the point in time when it was first determined for an assessment for income tax or sales tax or for a unit valuation, that one of the limits specified in Section 161 (1) RAO had been exceeded and the farmer and forester was informed of the start of the accounting obligation"
30,The special notification could be included in the notification or issued separately
31,"b) Legal situation from 1 1 1977 According to § 141 Abs 2 AO 1977 the accounting obligation for farmers and foresters begins with the beginning of the financial year following the announcement of the notification, through which the tax authority has informed the farmer and forest manager that According to their findings, one of the bookkeeping limits specified in Section 141 (1) AO 1977 has been exceeded for the individual company and he is obliged to keep books for this company and to make financial statements on the basis of annual inventories"
32,aa) Findings of the tax authorities According to the administrative instructions for the application of the AO 1977 (cf. BStBl 1976 I S
33,576 ff
34,", on § 141), the findings of the tax authority do not necessarily require a tax assessment, assessment notice or an appeal decision"
35,The findings of the tax authority can also be made in another form (e.g.
36,"by taking note of the profit declared by the taxpayer, which obviously exceeds the limit of § 141 Paragraph 1 No. 5 AO 1977; by calculating and taking note of agricultural and forestry assets - see no"
37,"2 - on the basis of the income tax return or the declaration on the main determination of the unit value for the operation of agriculture and forestry or other findings of the tax authority, which obviously exceeds the limit of § 141 Paragraph 1 No. 3 AO 1977)"
38,"The determination of turnover or profit or assets can also relate to periods or points in time before 1 1 1977; however, it must be taken after December 31, 1976"
39,bb) Notification The tax authorities must inform the taxpayer of the beginning of the accounting obligation
40,This notification can be given in a notification or separately; it should be made known to the taxpayer at least one month before the beginning of the financial year from the beginning of which the accounting obligation is to be fulfilled
41,"If the tax authority's determination that one of the accounting requirements has been exceeded is not made in a notification or an appeal decision, the farmer and forest manager must also be informed of the amount of the relevant assets or profit and the basis for calculation (see Appendix 1)"
42,cc) Submission of the opening balance sheet The farmer and forester must also be requested to submit an opening balance sheet immediately after the start of the accounting obligation
43,"Please do not object if, in cases in which agricultural and forestry operations join a data processing system, the opening balance sheet is not submitted until three months after the start of the financial year"
44,5 Discontinuation of the accounting obligation The accounting obligation ends according to
45,"Section 141 (2) sentence 2 AO 1977 with the expiry of the financial year following the financial year in which the tax authority determines that the prerequisites according to § 141 paragraph 1 AO 1977 no longer exist, provided that the tax authority does not renew the existence of the until then Establishes accounting obligation"
46,"If the submitted tax return or the balance sheet does not allow a determination that the prerequisites for the accounting obligation are no longer given, the determination of the possible discontinuation of the accounting obligation will only be made in the corresponding notification"
47,"Although Section 141 (2) AO 1977 does not provide for a notification to the taxpayer about the discontinuation of the accounting obligation, I ask you to inform the farmer and forester by means of a corresponding note in the notification or by separate notification"
48,6 Continuation of the accounting obligation when taking over the company as a whole The accounting obligation is transferred to the person who takes over the company as a whole
49,"The takeover of a business in this sense can take place both by acquisition for a fee or free of charge as well as by leasing, granting of usufruct and the establishment of another comprehensive right to use the business as a whole"
50,7 Handling of complaints against the request for bookkeeping from 1 7 1976 due to exceeding the asset limit I ask all farmers and foresters who have been asked to keep records from 1 7 1976 onwards because the asset limit has been exceeded to check whether the relevant The asset limit was determined in a standard value assessment or an annex to the income tax assessment (initial value plus comparative value of the leased land belonging to agricultural and forestry business assets plus the value of the apartment) and thus the prerequisite for the special request was met
51,"a) If this was not the case, the request for bookkeeping must be withdrawn with effect for the past (Section 130 (1) AO 1977)"
52,"However, it must be checked whether, according to your findings (see 4 b) aa), one of the accounting requirements specified in Section 141 (1) AO 1977 has been exceeded"
53,The farmer and forester is then in accordance with the above
54,Instructions to point out that from 1 7 1977 he is obliged to keep accounts
55,b) Was the above
56,"The prerequisite for the request for bookkeeping is fulfilled and the taxpayer has lodged a complaint, this complaint must be submitted to me"
57,"Regardless of the outcome of this legal remedy procedure, I ask you to check whether, according to your findings, one of the accounting requirements specified in Section 141 (1) AO 1977 has been exceeded"
58,The farmer and forester is then in accordance with the above
59,Instructions to point out that he is obliged to keep accounts from at least 1 7 1977
60,Procedural law / tax code accounting income tax / wage tax / church tax commercial law corporate law Hessen agriculture
61,Oberfinanzdirektion SaarbrückenS-2188-1 - St 221S-2188 -Anlagen 1 - 3 were not included Income Tax Act: 55Land gain taxation according to § 55 Income Tax ActI General information on land gain taxation1 Legal basis2 Temporal scope3 Determination of advance payments II Concept of agricultural and forestry operations1 Serious agricultural and forestry activity From land to business assets3 Heritable building right4 Usufruct5 Questions about the 30 ar-regulationIII Land used for agriculture and forestry in civil-law ownership by spouses and children1 General2 Economic ownership3 Property regime4 Co-entrepreneurshipIV Transfer of an agricultural and forestry business by way of anticipated succession1 Transfer of the business with all essentials Operating principles2 Retention of company buildings or individual property areasV Cases of cessation of operations in agriculture and forestry Established1 Business cessation2 Business leaseVI Determination of the book values ​​of the land in accordance with Section 55 Paragraph 1 to 4 EStG1 General2 Starting amounts in accordance with Section 55 Paragraph 2 no
62,"2 to 8 EStG in cases in which the actual use as of July 1, 1970 deviates from the use entered in the real estate cadastre VII Determination of the higher partial value according to Section 55 (5) EStG1 Application, determination and determination2 Simplification regulation3 Effects of the determination on other types of tax VIII Loss clause IX Book- and value recording of the land X Taxation of land gains1 When determining profits in accordance with Section 4 (3) EStG and Section 12 GDL (Section 13a EStG) with payment in installments2 With structural change XI Exemptions according to Section 14 14a EStG1 General2 Special features XII Implementation of the land gain taxation XIII Determination of taxpayers Cases administrative instructions The following FMS decrees and OFD decrees are partially referred to in the decree: FMS decree of content 1 10 3 1972 B / II-235/72 S-2000 / S-2130 / S-2188 A Doubts about the new regulation the land gain taxation by the 2 StÄndG 1971 2 3 5 1972 B / II-642/72 S-2230 A Definition of agricultural and forestry operations 3 9 6 1972 B / II-656/72 S-2130 / S-2188 A Determination of the higher partial value according to Section 55 (5) EStG 4 4 7 1972 B / II-656/72 S-2130 / S-2188 A Responsibility for the separate determination of land in accordance with Section 55 (5) EStG 5 7 7 1972 B / IV-390/72 S-3300 A Determination of the starting amounts according to Section 55 para 2 and 3 EStG by valuation bodies 6 Order of 29 8 1972 S-2130 / S-2188 - 8 - St 221 Determination of the starting amounts in accordance with"
63,of Section 55 Paragraphs 2 and 3 EStG 1971 for land belonging to agricultural and forestry assets 7 FMS decree of 11 11 1974 B / II-1025/74 S-2230 S-2188 A Time of recording the value of the land in the case of Stpfl with profit determination according to § 4 Paragraph 1 EStGI General information on land gain taxation1 Legal basis By the Second Tax Amendment Act 1971 of 10 8 1971 (BStBl IS
64,"373), the taxation of land gains for farmers and foresters, self-employed and small businesses has been newly regulated"
65,"This new regulation essentially consists of the deletion of Section 4 (1) sentence 5 EStG, a supplement to Section 4 (3) EStG, an amendment to Section 14 EStG, the introduction of Section 14a EStG, an amendment to Section 16 (4) EStG, the Addition of a § 55 EStG, the insertion of transitional regulations in § 52 EStG, a supplement to §§ 8 and 12 GDL (for financial years beginning after December 31, 1973, see § 13a Paragraph 6 EStG - BStBl 1974 IS"
66,249)
67,2 Temporal scope of application a) The new regulation only applies to farmers and foresters if the land has been sold or removed after 30 6 1970 (Section 52 (5) EStG 1971; Section 52 (3) EStG 1974; Section 52 (2) EStG 1975)
68,"In the case of small businesses and self-employed persons, the land gain taxation applies if the land was sold or removed after August 14, 1971 (Section 52 (5) EStG 1971; Section 52 (3) EStG 1974; Section 52 (2) EStG 1975)"
69,"Note also to Section 16 (1) EStR 1972b) In the case of farmers and foresters as well as small businesses and self-employed people, increases in land value prior to 1 7 1970 are not taken into account when determining the profit on sale or withdrawal, even in cases where the Land already belonged to business assets on 30 6 1970 (Section 55 (1) EStG)"
70,"Example: If a small business owner sells his property belonging to the business assets before August 15, 1971, this transaction is not significant for income tax purposes"
71,"If the land is sold after August 14, 1971, the new land gain taxation rules apply"
72,"The increases in land value that occurred before 1 7 1970 are not to be taken into account, but the changes in value that occurred between 30 6 1970 and 15 8 1971 and up to the date of sale are to be taken into account"
73,"3 Determination of advance payments In significant cases, the land gains resulting from the sale of the land are to be recorded not only as part of the assessment, but by adjusting the current advance payments or by subsequently increasing the advance payments"
74,II Concept of agricultural and forestry operations 1 Serious agricultural and forestry activities The concept of agricultural and forestry operations does not require a minimum size or the affiliation of farm buildings and resources
75,The serious agricultural use of individual agricultural properties is therefore also agriculture and forestry
76,"According to No. 3 of the decree of 3 5 1972, for reasons of administrative simplification, it can generally be assumed that - apart from the so-called"
77,"Intensive use (vegetable, flower and ornamental plant cultivation, tree nurseries, viticulture, hops, asparagus and tobacco growing, fruit growing and forestry) there is no agricultural or forestry operation if the total land area under cultivation does not exceed 3000 square meters"
78,"If, on the other hand, the self-cultivated land area is more than 3000 square meters, then there is an agricultural and forestry operation if, according to the overall picture, these areas are used seriously for agricultural purposes"
79,"Indications for serious agricultural use can be the scope of the work, the use of machines and devices as well as the ongoing fertilization and spraying of the crops"
80,"Membership in an agricultural professional organization, membership in agricultural purchasing and sales cooperatives, payment of contributions to the agricultural retirement fund, the use of cheaper gas oil and other state measures to improve the agricultural structure can all contribute to the existence of an agricultural and forestry business speak"
81,Agricultural use also exists if the products are only used for personal consumption
82,"In this case, however, serious use cannot be assumed on a regular basis because of the assumed low profitability"
83,Are areas only managed in the interests of landscape protection (e.g.
84,"mowed by the owner or a third party), it can no longer be considered serious agricultural and forestry activity"
85,"If these principles are applied, private house gardens, allotment gardens and weekend properties (see also decree of 3 5 1972) are excluded from the field of agriculture and forestry"
86,"2 Affiliation of land to the business assets The business assets of a farmer and forest manager include: a) the land owned by the business owner; economic ownership is sufficient (cf. Section III No. 2) b) Leased property c) The lowland (§ 44 BewG), z"
87,"Heidelandd) Unland (§ 45 BewG), z"
88,Ditches and embankments) fallow land (social wasteland); These are properties that are temporarily not cultivated for personal or economic reasons
89,"Regarding b) If individual properties of the remaining business are temporarily leased, they remain necessary business assets"
90,"If, on the other hand, they are leased on a long-term basis, the removal of the property can be recognized with evidence of the lease (name of the lessee)"
91,A prerequisite for a tax-recognized withdrawal is that the lease has been seriously agreed and is actually carried out (e.g.
92,for leases between parents and children)
93,"If the permanent lease took place before July 1, 1970 and the withdrawal was expressly declared, the land on July 1, 1970 belonged to private assets"
94,"If the declaration has not been made, the same applies if a) at the time of the lease there was no reason for the lessor to declare the withdrawal for tax purposes (e.g. because"
95,no assessment was carried out) or b) the rental income was shown in the tax return for the assessment period 1969 as income from rental and leasing
96,"Because of the determination of the extraction value in the period up to 30 June 1972 see No. 11 of the decree of 10 3 1972 To e) If individual agricultural areas of an agricultural holding are not used for agricultural purposes for a definite or indefinite period, they generally remain business assets"
97,"If a farmer finally and recognizably ceases to use individual pieces of land, these pieces of land can be removed"
98,This can e.g.
99,be the case if the use was discontinued due to an assignment procedure or due to a development
100,"In addition to the cessation of use, a clear withdrawal action is a prerequisite"
101,"However, the treatment of the property in the standard value method is irrelevant"
102,If all areas of an agricultural holding are no longer used for agricultural purposes - also referred to in parlance as social fallow land - this can be a task for the holding
103,"Are allotments, which according to"
104,"According to Section 34 (7) BewG, if this is an independent business that is permanently fallow, one can no longer speak of a serious agricultural and forestry activity"
105,They therefore belong to private assets from the time of cessation of use
106,This also applies if a third party looks after the area (e.g.
107,mows down)
108,The cessation of use will regularly be associated with an operational cessation (see Section V No. 1)
109,3 Heritable building right The encumbrance of a property belonging to a business asset with a heritable building right does not in itself constitute a withdrawal
110,Land belonging to an agricultural and forestry business asset and which was encumbered with a heritable building right prior to 1 7 1970 therefore still belonged to the property owner's agricultural and forestry business assets on 1 7 1970
111,"Something different only applies if the owner sold his business before 17 1970 without the property encumbered with the heritable building right, gave up his business or removed the property"
112,"If there was neither a sale of a business, nor a cessation of business, nor a withdrawal before 1 7 1970, for reasons of the protection of legitimate expectations in accordance with the administrative instruction contained in No. 6 (1) of the decree of 10 3 1972, a withdrawal can be assumed before 1 7 1970 if the ground rent was treated as income from renting and leasing in the final assessment of the property owner for the assessment period 1969"
113,"4 Usufruct If a usufructuary right is established for an agricultural and forestry operation, the land belonging to the agricultural and forestry operation must be assigned to the legal owner (usufructuary buyer)"
114,Something else only applies if the usufructuary is to be regarded as the beneficial owner of the property as an exception
115,That should z
116,be the case if the owner orders the lifelong usufruct of an agricultural holding in favor of a person who is considerably younger than he and whom he has appointed as his sole heir (see also Section III No. 2)
117,The same applies when ordering a usufruct on individual agricultural and forestry properties
118,"5 examples of the 3000 sqm rule a) Several piece lands of a taxpayer The 3000 sqm limit does not refer to the individual piece land, but to all land areas of a taxpayer"
119,b) Lots of land belonging to a community of heirs
120,"The decisive factor is therefore not the size of the parts of the property attributable to the individual participants, but the size of the entire agricultural holding"
121,c) Application of the 3000 sqm regulation A taxpayer owns the following properties: aa) 2000 sqm arable land 1500 sqm weekend property
122,The weekend property is part of private assets
123,"Since the arable land is no larger than 3000 square meters, it also counts as private assets"
124,"bb) 500 sqm vineyard area 2000 sqm arable area The 3000 sqm regulation does not apply, as there is already an agricultural and forestry operation with regard to the vineyard area and therefore the arable area also represents business assets"
125,"cc) 500 square meters of fallow vineyards 2000 square meters of yielding vineyards, owner-used 1600 square meters of forest 1500 square meters of tree meadow, owner-occupied 1200 square meters of tree meadow leased for DM 120 per year"
126,"In this case, the area used by the owner (including the fallow vineyards, the forest and the tree meadow) is larger than 3000 square meters"
127,All of these areas belong to the agricultural business assets
128,It can only be doubted how the leased meadow is to be treated
129,"If it was already leased permanently on July 1, 1970, and the removal of the meadow was expressly declared before July 1, 1970, or if the lease income was declared in the 1969 income tax return as income from renting and leasing, then there are no concerns To accept private wealth"
130,"If, on the other hand, the meadow is only now leased on a long-term basis, it can be withdrawn with the result that profit is realized"
131,"Insofar as vineyards are listed in the above examples, the decision is to be applied accordingly to other intensively used areas"
132,III Land used for agriculture and forestry in civil-legal property of spouses and children1 General Land and forestry-used land belong to the business assets of an agriculture and forestry sector if they are in the civil-legal or economic property of the business owner
133,Land that belongs to the business owner's spouse is therefore not part of the business owner's business assets
134,2 Economic ownership According to the BFH judgment of 26 1 1970 (BStBl II p
135,264) can only be accepted if the legal owner can be permanently excluded from affecting the economic property so that his claim to surrender no longer has any economic significance
136,These prerequisites will only be met in exceptional cases for the property land
137,Such an exceptional case does not exist if one or both parents in his or her
138,their agricultural and forestry operations co-manage land belonging to a minor child; because the parents' administrative rights over the child's property do not permanently exclude the child from affecting the property
139,Even the free transfer of land from one spouse to the other spouse or the children to one or both parents does not constitute beneficial ownership
140,3 Property regime Allocation of areas of the spouse to the business assets of agriculture and forestry can result from agreements under property law or from an existing corporate relationship between the spouses
141,"In the case of the property regime of the community of property (before July 1, 1958, the property regime of the general community of property), a distinction must be made between the common property and the conditional property"
142,"If the joint property of the spouses includes an agricultural and forestry business, according to the BFH rulings of 18 2 1959 (BStBl III p"
143,263) and from 1 3 1966 (BStBl III p
144,277) to accept co-entrepreneurship between the spouses even without a special agreement
145,"In this case, all property belonging to the spouses used for agricultural and forestry purposes is part of the business assets"
146,It does not matter whether they belong to the common property or to the conditional property of a spouse
147,"If the land belongs to the common property, half of it is attributable to each spouse"
148,Land belonging to a spouse's reserved property is fully attributable to this spouse
149,"If an agricultural and forestry business belongs to the property of a spouse, the following applies to properties that are managed within the framework of this business: Properties that are part of the property of the owner are fully attributable to this property and are business assets"
150,Properties belonging to the other spouse's reserved property are only to be assigned to this spouse and are not part of the business owner's business assets
151,Land belonging to the common property is to be allocated to half of each spouse and half to the business assets of the business owner
152,"4 Co-entrepreneurship A company relationship between spouses that has to be observed for tax purposes exists in the agricultural sector as well as in the commercial sector if both spouses actually contribute to the achievement of the company's purpose through cooperation, provision of capital or the transfer of economic goods, in particular land, as it would be the case in business with strange partners"
153,The contribution must not be of minor importance (cf. the BFH judgment of 3 August 1973 BStBl II p
154,844)
155,"A company is founded by a) the express conclusion of a partnership agreement, b) the tacit behavior of the spouse, which expresses the will to conclude a partnership agreement"
156,"The objective characteristics of co-entrepreneurship - cooperation, transfer of assets - are not enough on their own"
157,"Therefore, there is no co-entrepreneurship if the spouse working in the company - possibly"
158,surrenders property belonging to him to the other spouse for use on the basis of an employment contract
159,"IV Transfer of an agricultural and forestry operation by way of anticipated succession1 Transfer of the operation with all essential operating principles If a taxpayer transfers the agricultural and forestry operation as a whole to a successor free of charge, Section 7 (1) EStDV shall apply"
160,The hidden reserves contained in the business assets cannot be realized
161,"If the agricultural and forestry business transferred to the successor was leased in its entirety at the time of the transfer without an operational cessation having been declared, Section 7 (1) EStDV can also be applied"
162,"2 Retention of company buildings or individual property areas a) If a taxpayer transfers the agricultural and forestry operations to a successor free of charge, but retains the company building, Section 7 (1) EStDV does not apply because the essential principles of the operation are not transferred to the successor"
163,"In addition to the land, the essential operating principles of an agricultural and forestry business also include the operating buildings and, as a rule, the living and dead inventory"
164,"If the company building is retained, a company as a whole is not transferred"
165,"Since only individual economic goods are handed over free of charge, while the company building is taken over into private assets, there is an operational cessation within the meaning of Section 16 (3) EStG (Section 139 (5) EStR)"
166,"b) If, in the case of a free transfer of business, not business buildings, but rather individual land areas that are to be treated as agricultural operations (because they cover more than 3,000 square meters) are retained for own management, Section 7 (1) EStDV can be applied if the retained land is in proportion are of subordinate importance to the transferred farm and the successor can continue the transferred farm as a living organism without new acquisitions"
167,Example: The farm is operated on 9 hectares of land
168,Buildings and inventory are available
169,The taxpayer transfers the business to the son and retains 4000 square meters
170,"The matter is to be judged differently if no business within the meaning of Section 7 (1) EStDV, but only individual assets were transferred"
171,Example: A taxpayer has two plots of land that are 4000 square meters or
172,6000 square meters
173,He manages it himself
174,"He donates the 6000 square meter property to his son, he continues to cultivate the 4000 square meter property himself"
175,The area retained is not of minor importance in relation to the area transferred
176,"No agricultural operation as a whole, but only a single asset is transferred"
177,There is a withdrawal
178,The retained property is an agricultural operation and therefore business assets
179,"c) If a farmer transfers his agricultural and forestry operations to a successor free of charge and retains land areas of less than 3,000 square meters for his own management, the simplification rule (see No. 3 of the decree of 3 5 1972) cannot be applied against the will of the taxpayer become"
180,Therefore the farmer must be given the right to choose
181,He can choose whether he wants to transfer the retained land into private assets or not
182,"If the farmer declares that he has transferred the retained areas of less than 3000 square meters to private property, the hidden reserves contained in the transferred areas must be discovered"
183,This is where a free transfer of business within the meaning of Section 7 (1) EStDV and a tax-favored tax benefit under Section 14 34 EStG come together (Section 139 (5) EStR)
184,"If, on the other hand, the farmer expressly declares that he has not transferred the retained land to private property, this continues to constitute an agricultural and forestry operation"
185,"In addition, there is a free transfer of business in accordance with Section 7 (1) EStDV"
186,"If the agricultural and forestry use of all areas belonging to the business (including those previously leased) is finally and objectively ceased, this is to be seen as a conclusive treatment of the business end without the need for a special declaration of abandonment"
187,"If operations were discontinued before 17/1970, the hidden reserves, insofar as they relate to the land, remain tax-free"
188,"If the company was discontinued after 1 7 1970 but before 1 7 1972, the rule contained in No. 11 of the decree of 10 3 1972 must generally be followed"
189,"If a farmer and forester leased all of the land to several tenants before 1 7 1970, then he regularly gave up his business before 1 7 1970"
190,A special declaration of responsibility is not required in these cases
191,"On July 1, 1970, the plots belong to private assets"
192,A continuation of the operation with the result that the lease income is to be treated as income from agriculture and forestry can only be accepted as an exception if the leasing of the individual areas is based on special circumstances and the lessor intends to resume operations and this possibility is sufficiently secured
193,2 Business leasing a) General The leasing of an agricultural and forestry business as a whole can be permitted according to the decree of 17 12 1965 - III-B / II-Tgb
194,"No. 512/65 - S-2140 A communicated by order of 28 12 1965 S-2140 - 16 - St 221 (lease decree) can only be accepted if the essential operating principles (operation with buildings, land and dead and living inventory) are as be leased as a single whole"
195,The taxpayer has the option of ceasing to operate either at the beginning of the lease or at any later point in time
196,"If the company was operated by several people, the declaration of duties must be submitted uniformly by all those involved"
197,"According to the decree of 10 3 1972 No. 6, in the cases of company leasing mentioned there, in which the lease income was treated as income from renting and leasing in the legally binding assessment for 1969, it can be assumed that the company was closed before 17 1970"
198,"For reasons of the protection of legitimate expectations, this also applies if the lease income was declared in the 1969 income tax return as income from renting and leasing, but the tax office did not carry out an assessment and a declaration of discontinuation of operation possible according to No. 4 of the decree of 3 5 1972 was not submitted"
199,"b) Withdrawal of individual pieces of land If an agricultural and forestry business is leased while the business is being continued, the land belonging to the landlord and leased are necessary business assets"
200,"Their removal is therefore only possible if they leave the leased business, i"
201,are no longer co-leased due to a change in the lease agreement
202,"If the land that belongs to the lessor and which is also leased is sold, then they are removed from the business assets of the lessor through the sale"
203,c) Retention of individual pieces of land If a farmer and forester who leases his business as a whole retains land areas for further management that are of minor importance in relation to the total area (e.g.
204,"6000 square meters are retained from a total area of ​​10 hectares), then this is entirely harmless for the acceptance of a business lease"
205,"Since - as already stated in II - every small area can, strictly speaking, represent an agricultural and forestry operation, two agricultural and forestry operations were created by leasing the operation to the exclusion of individual areas"
206,"On the one hand, there is a lease of the business as a whole (with the option of explaining the task or continuing the operation), on the other hand, the retained area forms a separate agricultural and forestry operation"
207,"From this, in turn, individual areas can be leased permanently and therefore - as explained in II 2 - removed"
208,"If the retained area is no more than 3000 square meters, no more agricultural and forestry operations exist according to No. 3 of the decree of 3 5 1972"
209,"Since the area was previously a business asset, the farmer cannot be forced to transfer it to private assets when the lease begins"
210,The farmer is to be given the right to choose whether he wants to keep the area in the business assets or remove it
211,"If the area remains business assets, the case must be specially monitored in the future, since in the event of a sale in view of the 3000 square meter regulation, it could be overlooked that it is agricultural business assets"
212,"If the farmer transfers the retained area when leasing the business or at a later point in time into private assets, the resulting profit is favored according to Sections 14 and 34 of the Income Tax Act, as the self-cultivated area is now being closed down"
213,"Were the retained assets an essential operating basis, e.g."
214,"the farm building or a large cultivation area, the lease waiver cannot be applied"
215,"It concerns the leasing of individual assets of the continuing operation, which the taxpayer can permanently withdraw in the case of a lease or remain in his business assets"
216,The leased land can also remain in the business assets of taxpayers who determine their profit in accordance with Section 4 (3) EStG or the GDL
217,"In the case of these taxpayers, according to Section 14 (6) of the Income Tax Act 1972, voluntary business assets are not considered"
218,"Since the land was originally part of the business assets, according to Section 14, Paragraph 13 of the 1972 Income Tax Act, it can only be removed from the business assets through a clear removal process"
219,"Examples: a) A farmer (part-time) has an area of ​​8,000 square meters"
220,"He leases 4,000 square meters of this on a permanent basis, and manages the remaining 4,000 square meters himself"
221,He can choose whether he wants to leave the leased 4000 sqm in his business assets or remove it
222,"If he withdraws the leased 4000 sqm, the withdrawal profit is current profit (no discount according to §§ 14 34 EStG)"
223,"The remaining 4000 square meters, which he manages himself, are still a business"
224,b) A farmer has an area of ​​6000 square meters
225,He leases 4000 square meters on a permanent basis and continues to manage 2000 square meters himself
226,The taxpayer can leave the leased 4000 square meters in his business assets or withdraw it
227,"If he removes the leased 4000 square meters, he in turn has the right to choose whether he wants to transfer the remaining 2000 square meters into his private assets or leave them as business assets"
228,"If he leaves the remaining 2000 square meters in business assets, a withdrawal profit belongs to the possibly"
229,4000 sqm withdrawn to current profit and is not favored according to §§ 14 34 EStG
230,"However, if he transfers the entire area into his private assets, the total profit is favored according to §§ 14 34 EStG (business closure)"
231,"d) Lease of piece lands If a taxpayer only owns a piece of land which, apart from the 3000 sqm rule, represents an agricultural and forestry operation, and if he has leased this piece land on a permanent basis, one would have to come to the conclusion when applying the lease decree that the piece land is a continued operation of agriculture and forestry if the taxpayer has not submitted a declaration of abandonment"
232,"In this regard, the view must be taken that the lease decree is not to be applied without restriction to piece land"
233,An agricultural and forestry business in the whole of i
234,"of the lease decree can only be a business with buildings and inventory, since only such a business can be continued as a living organism by a tenant without new acquisitions"
235,"If such a piece of land was leased before July 1, 1970, it belonged to the taxpayer's private assets on that date and is not subject to land gain taxation when it is sold"
236,"If a piece of land was leased after 30 6 1970, then this lease can regularly be seen as a cessation of operation"
237,"However, the taxpayer cannot be prevented from continuing the piece landings as business assets even after the lease"
238,"If he declares that he wants to continue the business, the tax case must be specially monitored in the future, since in the event of a later sale, a taxable profit may arise, which is beneficiary according to §§ 14 34 EStG"
239,"If a taxpayer leases all of his previously agriculturally used land to several tenants and he no longer operates agriculture or forestry himself, an operational cessation is i"
240,of § 14 i
241,Section 16 (3) EStG
242,A special declaration of responsibility is not required
